date,rice_price,sugar_price,wheat_price,rainfall_mm,temp_c,month,year,wheat_price_lag1,wheat_price_lag2,wheat_price_lag4,rice_price_lag1,rice_price_lag2,rice_price_lag4,sugar_price_lag1,sugar_price_lag2,sugar_price_lag4,wheat_price_roll4,wheat_price_roll8,rice_price_roll4,rice_price_roll8,sugar_price_roll4,sugar_price_roll8,wheat_price_momentum,rice_price_momentum,sugar_price_momentum,rainfall_lag2,rainfall_lag4,is_summer,is_harvest,is_crushing
2017-05-01,75.35499999999999,58.7,35.81,14.0,32.211290322580645,5,2017,36.765,37.95,38.0,73.01,70.83500000000001,66.03,60.615,61.08,63.645,37.67875,37.699375,69.9175,67.37875,62.07625,65.65375,-3.2499999999999973,4.6063471595386485,-3.7322321924878943,23.6,62.0,1,1,0
2017-06-01,75.35499999999999,56.42,35.35,76.1,31.96333333333333,6,2017,35.81,36.765,38.0,75.35499999999999,73.01,69.795,58.7,60.615,62.965,37.13125,37.511250000000004,72.24875,68.78687500000001,60.84,64.049375,-5.638998682476948,6.3810263287922275,-3.8965291421087067,15.4,15.5,1,0,0
2017-07-01,75.35499999999999,54.735,35.065,87.9,30.717741935483872,7,2017,35.35,35.81,37.95,75.35499999999999,75.35499999999999,70.83500000000001,56.42,58.7,61.08,36.46875,37.21875,73.63874999999999,70.07,59.20375,62.183125000000004,-3.8487692098463144,3.211888782358563,-6.920729192444119,14.0,23.6,1,0,0
2017-08-01,75.85499999999999,56.505,34.6,258.7,29.88225806451613,8,2017,35.065,35.35,36.765,75.35499999999999,75.35499999999999,73.01,54.735,56.42,60.615,35.7475,36.8675,74.76875,71.353125,57.61750000000001,60.12375,-2.0804244624406665,0.0,-6.754684838160141,76.1,15.4,1,0,0
2017-09-01,76.60499999999999,55.235,35.685,15.0,28.74833333333333,9,2017,34.6,35.065,35.81,75.85499999999999,75.35499999999999,75.35499999999999,56.505,54.735,58.7,35.206250000000004,36.4425,75.47999999999999,72.69874999999999,56.59,59.333124999999995,-2.121640735502117,0.663525977042001,0.15065579581707844,87.9,14.0,0,0,0
2017-10-01,77.54499999999999,54.165,36.75,0.6000000000000001,25.937096774193545,10,2017,35.685,34.6,35.35,76.60499999999999,75.85499999999999,75.35499999999999,55.235,56.505,56.42,35.175000000000004,36.153125,75.79249999999999,74.020625,55.72375,58.281875,1.7681448738058103,1.6588149426050025,0.9134922809902246,258.7,76.1,0,0,0
2017-11-01,77.85499999999999,54.395,38.3,6.9,18.565,11,2017,36.75,35.685,35.065,77.54499999999999,76.60499999999999,75.35499999999999,54.165,55.235,54.735,35.525,35.996875,76.33999999999999,74.989375,55.16,57.181875000000005,6.213872832369938,2.227934875749793,-4.1412264401380465,15.0,87.9,0,0,1
2017-12-01,77.85499999999999,54.395,38.5,21.7,14.379032258064516,12,2017,38.3,36.75,34.6,77.85499999999999,77.54499999999999,75.85499999999999,54.395,54.165,56.505,36.33375,36.040625,76.96499999999999,75.866875,55.074999999999996,56.34625,7.328008967353217,1.6317472749820539,-1.5207748710056923,0.6000000000000001,258.7,0,0,1
2018-01-01,81.16,53.195,38.25,11.7,13.151612903225804,1,2018,38.5,38.3,35.685,77.85499999999999,77.85499999999999,76.60499999999999,54.395,54.395,55.235,37.30875,36.2575,77.46499999999999,76.4725,54.5475,55.568749999999994,4.761904761904767,0.39976787671673897,0.424628450106157,6.9,15.0,0,0,1
2018-02-01,81.16,52.07,37.815,20.0,16.089285714285715,2,2018,38.25,38.5,36.75,81.16,77.85499999999999,77.54499999999999,53.195,54.395,54.165,37.95,36.5625,78.60374999999999,77.19812499999999,54.0375,54.880625,-0.13054830287205776,4.245070965255926,-2.2060851181174845,21.7,0.6000000000000001,0,0,1
